Problema;Cenario;Algoritmo;N;Tempo_s;Comparacoes;Trocas
1;Aleatorio;Insertion Sort;30000;0.713734;225551463;225521470
1;Aleatorio;Selection Sort;30000;1.239297;449985000;29982
1;Aleatorio;Bubble Sort Melhorado;30000;2.863843;449885077;225521470
1;Ordenado;Insertion Sort;30000;0.000095;29999;0
1;Ordenado;Selection Sort;30000;1.082419;449985000;0
1;Ordenado;Bubble Sort Melhorado;30000;0.000072;29999;0
1;Inverso;Insertion Sort;30000;1.348274;449985000;449985000
1;Inverso;Selection Sort;30000;1.208233;449985000;15000
1;Inverso;Bubble Sort Melhorado;30000;2.490482;449985000;449985000
